Category,Restaurant Address,Restaurant Name,Restaurant Price Range,Restaurant Latitude,Restaurant Longitude,Review Rate
Chinese,"633 Silver Star Boulevard
Unit 119
Toronto, ON M1V 5N1",Origination Noodle,$11-30,43.82214,-79.298508,1.5
Chinese,"3833 Midland Avenue
Toronto, ON M1V 5L6",Kong Kee Barbeque,Under $10,43.813658,-79.291422,3.4
Chinese,"5195 Yonge Street
Toronto, ON M2N 5P7",Sichuan Ren,$31-60,43.769088000000004,-79.413045,3.2
Chinese,"897 Pape Avenue
Toronto, ON M4K 3T9",Number One,NA,43.684672,-79.346787,2.8
Chinese,"3040 Don Mills Road
Toronto, ON M2J",Mr. Gao’s Gardens,NA,43.780265,-79.348717,2.1
Chinese,"529 Marlee Avenue
North York, ON M6B 3J3",Li Cheng Restaurant,Under $10,43.708678,-79.443329,2.4
Chinese,"333 Bay St
Unit 6
Toronto, ON M5H",Szechuan Express BAC,Under $10,43.650355,-79.38044,1
Chinese,"1508 Queen St W
Toronto, ON M6R 1A4",Rice & Noodle,Under $10,43.640388,-79.438338,2.3
Chinese,"5306 Yonge Street
Toronto, ON M2N 0E3",Hey Noodles,$11-30,43.772847,-79.414106,2.8
Chinese,Chartwell Shopping Centre,Canton Rice Noodle,Under $10,43.797802,-79.270832,2.3
Chinese,"292 Parliament St
Toronto, ON M5A 3A4",Bamboo Kitchen,NA,43.658806,-79.365929,4.8
Chinese,"170 Spadina Ave
Toronto, ON M5T 2C2",Hot Bunzz Street Cuizine,Under $10,43.649122,-79.396901,0.5
Chinese,"308 Painted Post Drive
Toronto, ON M1G 2M3",Sa-Fire Restaurant & Bar,$11-30,43.767766,-79.227584,0.6
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,2.5
Chinese,"3453 Victoria Park Ave
Toronto, ON M1T",Home Feel Seafood Chinese Restaurant,NA,43.798524,-79.333688,1.1
Chinese,"3250 Midland Avenue
Suite G106
Toronto, ON M1V",A Xiang,$11-30,43.804604,-79.287865,0.3
Chinese,"3833 Midland Avenue
Toronto, ON M1V 1A1",Da Ke Yi Snacks,Under $10,43.814236,-79.291819,4.4
Chinese,"668 Silver Star Blvd
Unit 201
Toronto, ON M1V 5N1",Silver Star BBQ,$11-30,43.822589,-79.299781,4.1
Chinese,"615 Gerrard St E
Toronto, ON M4M 1Y2",River Seafood House,NA,43.665653,-79.351259,1.6
Chinese,"434 College St
Toronto, ON M4W 1A7",Nirvana,$11-30,43.656571,-79.40712,1.6
Chinese,"1508 Queen St W
Toronto, ON M6R 1A4",Rice & Noodle,Under $10,43.640388,-79.438338,3.7
Chinese,"434 College St
Toronto, ON M4W 1A7",Nirvana,$11-30,43.656571,-79.40712,0.1
Chinese,"3601 Victoria Park Avenue
Unit 122
Toronto, ON M1W 3Y3",M&Y Bakery,Under $10,43.803801,-79.33575,0.8
Chinese,"19 Milliken Boulevard
Unit 4C - 3
Toronto, ON M1V 2R4",North China Country Style,$11-30,43.803437,-79.294306,1.9
Chinese,"4188 Finch Ave East
Unit 18
Toronto, ON M1S 5C2",Lin’s Chinese Bun,Under $10,43.803389,-79.287851,1.9
Chinese,"200 Bay St
South Tower
Concourse Level
Toronto, ON M5J 2S1",Szechuan Express,Under $10,43.646506,-79.380145,3.7
Chinese,"161 Bay Street
Unit C-220
Toronto, ON M5J 2S4",Manchu Wok,Under $10,43.646577,-79.378782,1.4
Chinese,"3700 Midland Ave
Unit 109
Toronto, ON M1V 0B3",Jim Chai Kee Wonton Noodle,Under $10,43.814596,-79.292263,4.5
Chinese,"7 Progress Avenue
Toronto, ON M1P 2M1",Hot Wok,Under $10,43.769328,-79.281627,0.1
Chinese,"3250 Midland Avenue
Unit G
Toronto, ON M1V",JXY Dumpling Restaurant,$11-30,43.805067,-79.28742,3.9
Chinese,"2708 Avenue Danforth
Toronto, ON M4C 1L7",King’s Restaurant,NA,43.689061,-79.298383,3
Chinese,"2344 Av Danforth
Toronto, ON M4C 1K7",Harbour King Restaurant,NA,43.687289,-79.306613,3.1
Chinese,"216C Close Avenue
Toronto, ON M6K 2V5",Loga’s Corner,Under $10,43.640353,-79.435923,1.7
Chinese,"4365 Sheppard Avenue E
Toronto, ON M1S 1T6",Taste of Western China,Under $10,43.786717,-79.270877,4.1
Chinese,"977 O'Connor
Toronto, ON M4B 2T1",977 Cafe,NA,43.708826,-79.309866,0.6
Chinese,"1176 Danforth Avenue E
Toronto, ON M4J 1M3",Green Lady,NA,43.681611,-79.332837,2.1
Chinese,"492 Dundas Street W
Toronto, ON M5T 1G9",Tian An Cuisine,$11-30,43.653197,-79.397426,0.5
Chinese,"3280 Midland Avenue
Unit 15
Toronto, ON M1V 0C7",Shaxian Delicacies,$11-30,43.805877,-79.288317,1.2
Chinese,"6028 Yonge Street
Toronto, ON M2M 3W5",I Love BBQ,$11-30,43.789681,-79.418014,1.6
Chinese,"633 Silver Star Boulevard
Toronto, ON M1V 5N1",Tong Ha Supreme BBQ,Under $10,43.822236,-79.298716,0.4
Chinese,"1606 Eglinton Avenue W
Toronto, ON M6E 2G8",Hai Feng Chinese,$11-30,43.697143,-79.443598,3.8
Chinese,"476 Dundas St W
Toronto, ON M5T 1G9",Northeast Chinese Restaurant,$11-30,43.653316,-79.396884,0.7
Chinese,"5649 Yonge Street
Toronto, ON M2M 3T2",The General Mansion House,$11-30,43.781306,-79.415659,3.1
Chinese,"1508 Queen St W
Toronto, ON M6R 1A4",Rice & Noodle,Under $10,43.640388,-79.438338,3.3
Chinese,NA,Hey Noodles,NA,NA,NA,1.9
Chinese,"5 Baldwin St
Toronto, ON M5T 1L1",Kowloon Dim Sum Restaurant,$11-30,43.656023,-79.392486,1.4
Chinese,"109 McCaul St
Toronto, ON M5T 3K5",Tasty Chinese Food,Under $10,43.653718,-79.390903,0.3
Chinese,"1515 Birchmount Road
Toronto, ON M1P 2G7",Kroran Uyghur Cuisine,NA,43.758692,-79.288867,1.1
Chinese,"2347 Kennedy Road
Unit 106
Toronto, ON M1T 3T8",Tasty House Chinese Kitchen,NA,43.784076,-79.288232,0.4
Chinese,"3250 Midland Avenue
Unit G101
Toronto, ON M1V 0C4",Han Shi Fang,$11-30,43.804933,-79.28881,4.8
Chinese,"40 St George St
Toronto, ON M5S 2E4",Ken Ho’s Snack Service,Under $10,43.659641,-79.396792,4.2
Chinese,"45 Baldwin Street
Toronto, ON M5T 1L1",7 Dim Sum,$11-30,43.655822,-79.393727,2.7
Chinese,"5463 Yonge Street
Toronto, ON M2N 5S1",Tasty Hut,$31-60,43.777692,-79.414776,2.8
Chinese,"1610 Queen Street E
Toronto, ON M4L 1G2",Pachira Asian Cuisine,Under $10,43.666397,-79.316825,2.3
Chinese,"261 Spadina Avenue
Toronto, ON M5T 2E3",Dim Sum Plus,NA,43.6523,-79.397497,4.5
Chinese,"4020 Finch Avenue E
Toronto, ON M1S 3T6",Fishman Lobster Clubhouse Restaurant,$31-60,43.801976,-79.295159,4.8
Chinese,"216C Close Avenue
Toronto, ON M6K 2V5",Loga’s Corner,Under $10,43.640353,-79.435923,2.4
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,3.1
Chinese,"3268 Finch Avenue E
Unit 1
Toronto, ON M1W 3P7",Souperfoods,$11-30,43.796393,-79.318692,1.1
Chinese,"280 Spadina Avenue
Toronto, ON M5T 3A5",Canteen,Under $10,43.652586,-79.398445,1.8
Chinese,"2900 Eglinton Avenue E
Toronto, ON M1J 2E4",Wok & Fortune,Under $10,43.739326,-79.23783,2.6
Chinese,"750 Oakdale Road
Toronto, ON M3N 2Z4",Go For Szechuan,NA,43.751253,-79.528703,0.7
Chinese,"4400 Sheppard Avenue E
Unit 13
Toronto, ON M1S 1T8",Wide Alley Kitchen,Under $10,43.787551,-79.269658,4.4
Chinese,"1571 Sandhurst Circle
Toronto, ON M1V 1V2",Casa Deluz Banquet Hall,$11-30,43.809201,-79.268153,4.5
Chinese,"343 Spadina Ave
Toronto, ON M5T 2G3",Sang’s Great Food,$11-30,43.655145,-79.398653,0.1
Chinese,"2356 Lakeshore Boulevard W
Etobicoke, ON M8V 1B6",Everest Hakka Cuisine,$11-30,43.616338,-79.488132,3.7
Chinese,"5 Northtown Way
Toronto, ON M2N 7A1",Yummy Dumpling House,Under $10,43.774992,-79.41347,1.1
Chinese,"2300 Lawrence Ave E
Unit 11
Toronto, ON M1P 2K9",Golden Lobsters Chinese Hakka Restaurant,Under $10,43.74965,-79.277048,0.9
Chinese,"1508 Queen St W
Toronto, ON M6R 1A4",Rice & Noodle,Under $10,43.640388,-79.438338,2.8
Chinese,"5306 Yonge Street
Toronto, ON M2N 0E3",Hey Noodles,$11-30,43.772847,-79.414106,2.2
Chinese,"573 Rogers Rd
Toronto, ON M6M 1B7",King’s BBQ Chicken Restaurant,NA,43.682175,-79.470983,1.5
Chinese,"10 Ravel Road
Unit 1-2
Toronto, ON M2H 1S8",Petit Potato,$11-30,43.79058,-79.366094,3.8
Chinese,"1017 Dufferin Street
Toronto, ON M6H 4B5",Kengle Take Out,NA,43.66034,-79.435344,4.4
Chinese,"23 Glen Watford Drive
Suite 9
Toronto, ON M1S 2B7",Global Imperial Cuisine,$11-30,43.786874,-79.273929999999993,0.1
Chinese,"200 Front Street W
Toronto, ON M5V 3K2",Ti-Ki Ming,NA,43.644991,-79.385865,1.2
Chinese,"4227 Sheppard Avenue E
Scarborough, ON M1S 5H5",Maple Yip Seafood Restaurant,$11-30,43.784761,-79.277824,0.7
Chinese,"60 Brian Harrison Way
Unit 102
Toronto, ON M1P 5J5",Chill Station,NA,43.774037,-79.257552,4.1
Chinese,"633 Silver Star Boulevard
Toronto, ON M1V 5N1",Chat Bar,$11-30,43.822058,-79.298592,3.2
Chinese,"Commerce Court
199 Bay Street
Toronto, ON M5L 1G9",China Wok,Under $10,43.647946,-79.379319,3
Chinese,"633 Silver Star Boulevard .
Unit 125
Toronto, ON M1V 5N1",Deer Garden Signatures,$11-30,43.822058,-79.298592,0.7
Chinese,"1136 College Street W
Toronto, ON M6H 1B5",Ilhas De Bruma,$31-60,43.652334,-79.433657,3.5
Chinese,"1508 Queen St W
Toronto, ON M6R 1A4",Rice & Noodle,Under $10,43.640388,-79.438338,0.9
Chinese,"5306 Yonge Street
Toronto, ON M2N 0E3",Hey Noodles,$11-30,43.772847,-79.414106,2.9
Chinese,"189 Sheppard Avenue E
North York, ON M2N 3A8",Spring China House,$11-30,43.763804,-79.399224,0.9
Chinese,"4186 Finch Ave East
Unit 20
Toronto, ON M1S 5C2",Chicken King,Under $10,43.803388,-79.287853,2.4
Chinese,"3278 Midland Avenue
Toronto, ON M1V",Harbin Bbq,$11-30,43.805864,-79.287844,4.5
Chinese,"1735 Kipling Ave
Etobicoke, ON M9R 2Y8",Gourmet Express,Under $10,43.693314,-79.557283,4.3
Chinese,"5437 Yonge St
Toronto, ON M2N",Meet You Leisure Restaurant,NA,43.776598,-79.414742,1.6
Chinese,"5633 Finch Avenue E
Toronto, ON M1B 5K9",Lucky Lin’s Restaurant,Under $10,43.813743,-79.238056,3.3
Chinese,"633 Silver Star Boulevard
Unit F1
Toronto, ON M1V 5N1",Pot Rice & Rolls House,NA,43.81043,-79.293388,0.9
Chinese,"1221 Markham Road
Unit 1A
Toronto, ON M1H 3E2",Scarborough Buffet,$11-30,43.778653,-79.232131999999993,0.3
Chinese,"2900 Warden Avenue
Toronto, ON M1W 2S8",Phoenix Restaurant,$11-30,43.797921,-79.318629,2.3
Chinese,"8 Glen Watford Drive
Toronto, ON M1S 2B7",HK Eatery,NA,43.786607,-79.276011,3.6
Chinese,"259 Wellington St W
Toronto, ON M5V",Aanch Modernist Indian Cuisine,$11-30,43.644708,-79.39067,1.4
Chinese,"1508 Queen St W
Toronto, ON M6R 1A4",Rice & Noodle,Under $10,43.640388,-79.438338,0.6
Chinese,"259 Wellington St W
Toronto, ON M5V",Aanch Modernist Indian Cuisine,$11-30,43.644708,-79.39067,4.6
Chinese,"4271 Sheppard Avenue E
Unit 2
Toronto, ON M1S",Liwan Kitchen,$11-30,43.785527,-79.27625,0.3
Chinese,"1102 Centre Street
Unit 2
Vaughan, ON L4J 3M8",Ann’s Congee,$11-30,43.80878,-79.461611,2.3
Chinese,"416 Spadina Avenue
Toronto, ON M5T 2G7",Mr Roc’s Crawfish,$31-60,43.65627,-79.399775,3.2
Chinese,"181 College Street
Toronto, ON M5T 1P7",Spicy Mafia,$11-30,43.6589,-79.394253,4.2
Chinese,"384 Yonge Street
Unit 53
Toronto, ON M5G 2K2",Oriental Delight,NA,43.65929,-79.383196,4.4
Chinese,"2551 Pharmacy Ave
Toronto, ON M1W 3E2",Taste of Heaven Chinese Cuisine,NA,43.794053,-79.324851,0.6
Chinese,"43 Baldwin Street
Toronto, ON M5T 1L1",Double Tree Restaurant & Bar,$11-30,43.655785,-79.393701,1.1
Chinese,"200 Front St W
Toronto, ON M5V 3K2",Manchu Wok,NA,43.644936,-79.386151,3
Chinese,"109A Ravel Road
Toronto, ON M2H 1T2",Primary Taste Yunan Noodle,Under $10,43.791398,-79.366115,2.9
Chinese,"1850 Dundas Street E
Mississauga, ON L4X 1L9",Dragon Palace,$11-30,43.619793,-79.572541,4.2
Chinese,"459 Church Street
Toronto, ON M4Y 4C5",Kintaro Izakaya,$11-30,43.664158,-79.380274,2.4
Chinese,"216C Close Avenue
Toronto, ON M6K 2V5",Loga’s Corner,Under $10,43.640353,-79.435923,0.8
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,2.6
Chinese,"3278 Midland Avenue
Toronto, ON M1V",Beijing Restaurant,$11-30,43.805269,-79.288847,2.7
Chinese,"1512 Queen Street W
Toronto, ON M6R 1A1",Thai Chef Panda,$11-30,43.640239,-79.438454,0.3
Chinese,"282 Jane St
Toronto, ON M6S 3Z2",Xin Yi Garden,$11-30,43.655973,-79.487343,4.6
Chinese,"1500 Royal York Road
Etobicoke, ON M9P 3B6",Mayflower Chinese Food,$11-30,43.691946,-79.531593,4.8
Chinese,"4186 Finch Avenue E
Unit 27
Toronto, ON M1S 5C2",Restaurant Fifty Nine,$11-30,43.803992,-79.28828,2.4
Chinese,"1920 Yonge Street
Toronto, ON M4S 3E2",Yonge Station Chinese Restaurant,NA,43.698679,-79.396896,0.5
Chinese,"5371 Yonge Street
Toronto, ON M2N 5R6",Chengdu Taste,NA,43.775849,-79.414295,0.2
Chinese,"3322 Keele Street
Toronto, ON M3M 2H7",Moon Congee,NA,43.744249,-79.486821,0
Chinese,"374 Keele Street
Toronto, ON M6P 2K8",Wong Cafe,NA,43.665407,-79.464587,2.7
Chinese,"900 Dufferin Street
Unit #25
Toronto, ON M6H 4A9",Manchu Wok,NA,43.656331,-79.435335,0.8
Chinese,"216C Close Avenue
Toronto, ON M6K 2V5",Loga’s Corner,Under $10,43.640353,-79.435923,1.1
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,2.4
Chinese,Bridlewood Mall,Super Taste Noodle House,Under $10,43.798263,-79.318518,5
Chinese,"635 Gerrard Street E
Toronto, ON M4M 1Y2",Panda Chef,$11-30,43.665751,-79.35066,1.6
Chinese,"88 Queens Quay W
Toronto, ON M5J",Szechuan Express,NA,43.641109,-79.378664,2.5
Chinese,"3250 Midland Avenue
Unit G116
Toronto, ON M1V 0C7",Mr. Six Fried Chicken,Under $10,43.804878,-79.288034,2.4
Chinese,"682 Kennedy Avenue
Toronto, ON M1K 2B5",Hakka #1 Restaurant,NA,43.726885,-79.266128,1.8
Chinese,"1630 Jane Street
Toronto, ON M9N 2R8",Tasty House Chinese Restaurant,NA,43.700906,-79.503252,4
Chinese,"4419 Sheppard Avenue E
Toronto, ON M1S 1V1",Congee Me,Under $10,43.787435,-79.268721,5
Chinese,"280 Spadina Avenue
Toronto, ON M5T 3A5",Sky Dragon Chinese Restaurant,$11-30,43.652586,-79.398445,4.6
Chinese,"3250 Midland Avenue
Toronto, ON M1V 4A1",Rain & Sunny Restaurant,NA,43.80392,-79.286382,2.7
Chinese,"434 Dundas Street W
Toronto, ON M5T 1G6",Dundas Spring Garden,$11-30,43.653484,-79.395475,4.7
Chinese,"546 Dundas Street W
Toronto, ON M5T 1H3",Kim Vietnamese Restaurant,Under $10,43.652774,-79.3994,4.5
Chinese,"216C Close Avenue
Toronto, ON M6K 2V5",Loga’s Corner,Under $10,43.640353,-79.435923,2.3
Chinese,"546 Dundas Street W
Toronto, ON M5T 1H3",Kim Vietnamese Restaurant,Under $10,43.652774,-79.3994,4.9
Chinese,"2301 Brimley Road
Unit 128
Toronto, ON M1S 5B8",Grandeur Palace,$11-30,43.797802,-79.270832,4.7
Chinese,"3850 Sheppard Avenue E
Unit 225
Toronto, ON M1T 3L4",Asian Fusion,Under $10,43.784352,-79.29219,4.4
Chinese,"428 Dundas Street W
Toronto, ON M5T",Ten Mile Aroma,Under $10,43.653842,-79.395513,1
Chinese,"3309 Sheppard Avenue E
Toronto, ON M1T 3W5",Eight Noodles,$11-30,43.778504,-79.308549,1.2
Chinese,"136 - 4750 Yonge Street
Toronto, ON M2N 5M6",Chengdu Guokui,NA,43.760188,-79.412284,0.2
Chinese,"3700 Midland Avenue
Toronto, ON M1V 5B5",South Asia Malaysian Cuisine,$11-30,43.814932,-79.29301,4.6
Chinese,"10 Ravel Road
North York, ON M2H 1S8",Congee Wong,$11-30,43.79063,-79.365771,1.7
Chinese,"1249 Ellesmere Road
Toronto, ON M1P 2X4",Supreme Restaurant & Bar,NA,43.768911,-79.266608,3.4
Chinese,"171 East Liberty Street
Unit 153
Toronto, ON M6K",Pepper ring,$11-30,43.638265,-79.417441,0.5
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,4.8
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,4.6
Chinese,"260 Yonge St
Toronto, ON M5B 2M8",Szechuan Express,$11-30,43.654062,-79.380051,4.2
Chinese,"17 Milliken Boulevard
Toronto, ON M1V 1V3",Very Fair,$11-30,43.803568,-79.293509,2
Chinese,"633 Silver Star Boulevard
Unit 107
Toronto, ON M1V",Hunan Style Restaurant,$11-30,43.822058,-79.298592,0.5
Chinese,"1154 Morningside Avenue
Toronto, ON M1B",Tropical Nights Restaurant & Lounge,$11-30,43.800607,-79.199402,1.5
Chinese,"747 Don Mills Road
North York, ON M3C 1T2",Mulan Chinese Cuisine,Under $10,43.713721,-79.334716,0.2
Chinese,"2131 Lawrence Ave E
Toronto, ON M1R 3A3",The Rice Kitchen,NA,43.746349,-79.28883,1.2
Chinese,"250 Alton Tower Circle
Toronto, ON M1V 5E3",New May Hong Yuen BBQ,Under $10,43.822398,-79.275451,2.3
Chinese,"4188 Finch Avenue E
Toronto, ON M1W",Sichuan Kungfu Fish,$11-30,43.804603,-79.287842,3.8
Chinese,"3280 Midland Ave
Toronto, ON M1V",Szechuan Legend,$11-30,43.805877,-79.288317,1.4
Chinese,"156 The Queensway
Etobicoke, ON M8Y 1J2",Wok Terminal,Under $10,43.630542,-79.484787,2.3
Chinese,"1560 Yonge Street
Toronto, ON M4T 2S9",Eating Court Chinese Restaurant,NA,43.689561,-79.395044,3.4
Chinese,"2100 Steeles Avenue W
Unit 1
Vaughan, ON L4K 2V1",Royal Jade,$11-30,43.78318,-79.489917,2.7
Chinese,"300 Lakeshore Rd W
Mississauga, ON L5H 1G6",Chinese Express Takeout,Under $10,43.544746,-79.593674,3.7
Chinese,"3833 Midland Avenue
Unit 9B
Toronto, ON M1V 5L6",West Street Cuisine,Under $10,43.813658,-79.291422,1.5
Chinese,"3278 Midland Avenue
Unit D105
Toronto, ON M1W",Qing Feng Bun,$11-30,43.8053,-79.288570000000007,3.5
Chinese,"41 Baldwin Street
Toronto, ON M5T",Sometime Restaurant,NA,43.655901,-79.393659,1.3
Chinese,"633 Silverstar Boulevard
Unit 105
Toronto, ON M1V 5N1",One Plus One BBQ,$11-30,43.822058,-79.298592,3.1
Chinese,"3858 Bloor Street W
Toronto, ON M9B 1K9",Fu Lai,Under $10,43.641227,-79.539237,3.3
Chinese,"4800 Sheppard Avenue E
Toronto, ON M1S 4N5",Dumpling Garden Food Company,NA,43.791156,-79.25168,3.6
Chinese,"3030 Don Mills Road
Toronto, ON M2J",Hung Fok BBQ Gourmet,NA,43.785739,-79.352145,4.5
Chinese,"1508 Queen St W
Toronto, ON M6R 1A4",Rice & Noodle,Under $10,43.640388,-79.438338,2
Chinese,"434 College St
Toronto, ON M4W 1A7",Nirvana,$11-30,43.656571,-79.40712,4.7
Chinese,"3320 Midland Avenue
Toronto, ON M1V 5E6",Chili Legend,NA,43.807025,-79.288798,3.7
Chinese,"4186 Finch Avenue E
Toronto, ON M1W",Liuyishou Hotpot Scarborough,NA,43.79858,-79.307741,3.6
Chinese,"3046 Don Mills Road
Unit 20
Toronto, ON M2J 5A7",Fresh Cup Bubble Tea,NA,43.785831,-79.353279,1.9
Chinese,"863 St Clair Ave W
Toronto, ON M6C",Ho-Lee-Chow,NA,43.679888,-79.43293,4.3
Chinese,"3833 Midland Ave
Suite 9C
Toronto, ON M1N 3Z6",Arden Fast Food,Under $10,43.7639,-79.269779,1.8
Chinese,"5987 Bathurst Street
Toronto, ON M2R",Kosher Wok and Roll,$11-30,43.786335,-79.445581,3.1
Chinese,"4188 Finch Avenue E
Toronto, ON M1S 3V1",Baozi Lin,NA,43.803256,-79.288406,1.7
Chinese,"444 Yonge Street
Toronto, ON M5B 2H4",China King,NA,43.661006,-79.383213,1.9
Chinese,"444 Dundas St W
Toronto, ON M5T 1G6",Flourish BBQ Restaurant,NA,43.653509,-79.395858,1
Chinese,"3260 Midland Avenue
Unit F101 & F102
Toronto, ON M1V 0C7",Dagu Rice Noodle,NA,43.805581,-79.288081,3.3
Chinese,"459 Church Street
Toronto, ON M4Y 4C5",Kintaro Izakaya,$11-30,43.664158,-79.380274,0.7
Chinese,"4020 Finch Avenue E
Toronto, ON M1S 3T6",Fishman Lobster Clubhouse Restaurant,$31-60,43.801976,-79.295159,2
Chinese,"3351 Bloor Street W
Toronto, ON M8X 1E9",Sushi Run,$11-30,43.644901,-79.521863,1.3
Chinese,"707 Dundas Street W
Toronto, ON M5T 2W6",The Original One,NA,43.651766,-79.404965,3.8
Chinese,"598 Gerrard Street E
Toronto, ON M4M 1Y3",Soon Foon Tai Chinese Restaurant,NA,43.665842,-79.351928,4.9
Chinese,"418 Horner Avenue
Toronto, ON M8W 2A4",Jia Thai Restaurant,NA,43.603807,-79.53645,0.6
Chinese,"First Canadian Pl
100 King St W
Toronto, ON M5X 1B5",Szechuan Express,$11-30,43.648636,-79.381744,4.3
Chinese,"3616 Dufferin Street
Toronto, ON M3K",Panda Garden,NA,43.731586,-79.459101,0.9
Chinese,"1662 Eglinton Avenue W
York, ON M6E 2H2",Ming City Restaurant & Bar,Under $10,43.696998,-79.444843,3.4
Chinese,"3833 Midland Avenue
Scarborough, ON M1V 5L6",Ho Ho Barbeque,Under $10,43.813658,-79.291422,0.7
Chinese,"3250 Midland Avenue
Toronto, ON M1V 4A1",Aberdeen Delicatessen,$11-30,43.80392,-79.286382,4.9
Chinese,"261 Spadina Avenue
Toronto, ON M5T 1H1",Master Mix HotPot,$11-30,43.652251,-79.397642,1.7
Chinese,"1780 Markham Road
Toronto, ON M1B 2W2",Chopstick House,$11-30,43.795641,-79.239981,1.2
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,4.6
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,4.4
Chinese,"2418 Lakeshore Boulevard W
Etobicoke, ON M8V 1C4",Golden Stove,Under $10,43.614546,-79.488897,0.6
Chinese,"2204 Danforth Avenue
Toronto, ON M4C 1K3",Ho Lee Chow,$11-30,43.686596,-79.309844,0.5
Chinese,"473 Dundas St W
Toronto, ON M5T 1G8",Dundas Garden,$11-30,43.653051,-79.396846,3.9
Chinese,"5 Glen Cameron Road
Thornhill, ON L3T 5W2",Legend Chinese Restaurant,$11-30,43.804788,-79.420499,2.3
Chinese,"8 Glen Watford Drive
Toronto, ON M1S 2C1",Flavor Cuisine,NA,43.787061,-79.276166,4
Chinese,"2301 Brimley Road
Toronto, ON M1S 5B8",Go Go China,NA,43.797708,-79.272237,3.1
Chinese,"3290 Midland Avenue
Unit 1
Toronto, ON M1V 3Z9",520 BBQ House,$11-30,43.806459,-79.289469,2.7
Chinese,"3250 Midland Avenue
Suite G111
Toronto, ON M1V",Fengying Fusion Cuisine,NA,43.805084,-79.288196,1.1
Chinese,"3280 Midland Ave E
Unit 27-28
Toronto, ON M1V 0C7",Made In China Hot Pot,$11-30,43.806196,-79.288492,4.2
Chinese,"645 Mount Pleasant Rd
Toronto, ON M4S 2M9",Chinese Kitchen Delights,NA,43.705102,-79.388592,0.4
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,1
Chinese,"3700 Midland Avenue
Unit 108
Toronto, ON M1V 0B3",Hei Xiao Mian,$11-30,43.818726,-79.288628,4.2
Chinese,"1790 Jane Street
Toronto, ON M9N 2T2",China Town,Under $10,43.706407,-79.504896,3.3
Chinese,"513 Mount Pleasant Rd
Toronto, ON M4S 2M4",South China Chinese & Polynesian Foods,NA,43.701868,-79.387535,2.9
Chinese,"4810 Sheppard Ave E
220
Toronto, ON M1S 4N6",yuan yuan Chinese Restaurant,NA,43.791874,-79.250654,5
Chinese,"2383 Dundas Street W
Toronto, ON M6P 4B2",Happy Day Chinese,NA,43.657448,-79.452911,2.1
Chinese,"3278 Midland Avenue
Unit D103
Toronto, ON M1V",Wuhan Hei Ya,NA,43.805496,-79.288485,1.2
Chinese,"Eaton's Centre
Toronto, ON M5B 2H6",Schezuan Express,$11-30,43.654463,-79.380665,1.2
Chinese,"200 Wellington Street West
Toronto, ON M5V 3G2",Manchu Wok,NA,43.645733,-79.387793,1.2
Chinese,"1425 Dundas Street E
Suite 3
Mississauga, ON L4X 2W4",JAM House Seafood Restaurant,$11-30,43.610886,-79.584488,4
Chinese,"106 Northtown Way
Unit 106
Toronto, ON M2N 7L4",Kung Fu Duck,NA,43.775587,-79.413185,3.1
Chinese,"359 Albion Road
Toronto, ON M9W 2P1",Umami Hakka,NA,43.724862,-79.550843,2.6
Chinese,"418 Spadina Avenue
Toronto, ON M5T 2G7",Lucky Dragon,NA,43.656293,-79.399779,3
Chinese,"900 Don Mills Road
Unit 2
North York, ON M3C 1V6",Genghis Khan Mongolian Grill,$11-30,43.726896000000004,-79.342237,1.9
Chinese,"340 Jarvis Street
Toronto, ON M4Y 2G6",Fireplace Restaurant,NA,43.662846,-79.377041,1.6
Chinese,"2650 Lawrence Avenue E
Scarborough, ON M1P 2S1",Lucky Chinese Restaurant,$11-30,43.752733,-79.264041,0.6
Chinese,"2543 Warden Avenue
Toronto, ON M1W 2H5",Little Sheep Mongolian Hot Pot,$11-30,43.791537,-79.312772,4.3
Chinese,"3030 Don Mills Road E
Toronto, ON M2J 3J3",Xiachedan,NA,43.785944,-79.35265,1.2
Chinese,"260 Yonge Street Toronto
Toronto, ON M5B 2L9",Shanghai 360,NA,43.654871,-79.380438,0.4
Chinese,"1165 Dundas St W
Toronto, ON M6J 1X3",Quality Inn Chinese Restaurant,NA,43.649239,-79.42152,2.3
Chinese,"2142 Yonge St
Toronto, ON M4S 2A8",Dumpling by C’est Bon,NA,43.703673,-79.397887,4.4
Chinese,"2993 Bloor St W
Etobicoke, ON M8X 1C1",Hong Kong Gardens Tavern and Restaurant,Under $10,43.647547,-79.509881,0.1
